id,Timestamp,Country,Sentiment
1,2014-02-09 11:01:31,United States,1
2,2014-02-12 18:07:29,United States,0
3,2014-02-21 18:55:08,Russia,2
4,2014-02-21 13:23:40,Russia,2
5,2014-02-11 17:02:12,China,0
6,2014-02-09 14:59:49,Portugal,2
7,2014-02-08 22:42:30,Jordan,1
8,2014-02-07 06:27:01,Mexico,1
9,2014-02-19 23:58:45,Canada,2
10,2014-02-22 02:24:37,Argentina,0
11,2014-02-17 13:46:16,France,1
12,2014-02-19 13:33:14,Japan,1
13,2014-02-16 21:09:29,Poland,1
14,2014-02-22 17:04:20,Singapore,1
15,2014-02-10 06:12:15,Vietnam,1
16,2014-02-16 21:41:04,Ukraine,2
17,2014-02-12 03:18:31,Brazil,2
18,2014-02-10 23:10:15,Sweden,1
19,2014-02-11 09:27:51,Ireland,0
20,2014-02-14 01:21:59,Czech Republic,2
21,2014-02-22 09:45:29,United States,1
22,2014-02-10 23:32:59,United States,0
23,2014-02-18 19:29:41,Russia,0
24,2014-02-20 23:44:54,Russia,1
25,2014-02-08 06:56:08,China,2
26,2014-02-09 21:14:06,Portugal,2
27,2014-02-18 01:42:14,Jordan,0
28,2014-02-08 16:31:00,Mexico,2
29,2014-02-20 08:14:05,Canada,1
30,2014-02-18 10:00:55,Argentina,0
31,2014-02-15 03:22:14,France,1
32,2014-02-14 04:55:31,Japan,0
33,2014-02-15 03:28:50,Poland,1
34,2014-02-15 00:45:40,Singapore,1
35,2014-02-21 02:55:02,Vietnam,1
36,2014-02-20 12:53:26,Ukraine,1
37,2014-02-15 18:42:58,Brazil,0
38,2014-02-07 22:27:30,Sweden,1
39,2014-02-16 06:48:50,Ireland,0
40,2014-02-11 13:17:33,Czech Republic,2
41,2014-02-20 04:13:44,United States,0
42,2014-02-07 14:09:41,United States,2
43,2014-02-09 15:06:57,Russia,1
44,2014-02-18 14:49:03,Russia,0
45,2014-02-12 20:39:32,China,2
46,2014-02-15 04:41:55,Portugal,1
47,2014-02-16 08:00:45,Jordan,0
48,2014-02-13 07:02:02,Mexico,2
49,2014-02-21 06:07:55,Canada,1
50,2014-02-15 20:01:39,Argentina,2
51,2014-02-16 23:30:11,France,0
52,2014-02-22 04:56:28,Japan,1
53,2014-02-10 23:32:29,Poland,0
54,2014-02-18 03:34:27,Singapore,0
55,2014-02-13 00:38:07,Vietnam,1
56,2014-02-18 03:32:31,Ukraine,0
57,2014-02-20 16:00:57,Brazil,2
58,2014-02-21 23:00:47,Sweden,1
59,2014-02-11 12:23:38,Ireland,2
60,2014-02-10 08:57:53,Czech Republic,0
61,2014-02-15 11:51:15,United States,1
62,2014-02-16 04:50:22,United States,1
63,2014-02-20 09:20:03,Russia,2
64,2014-02-11 17:56:47,Russia,0
65,2014-02-12 18:27:17,China,1
66,2014-02-07 19:12:46,Portugal,2
67,2014-02-08 21:20:19,Jordan,1
68,2014-02-16 05:35:03,Mexico,1
69,2014-02-17 17:29:38,Canada,2
70,2014-02-07 21:52:27,Argentina,0
71,2014-02-11 17:05:53,France,1
72,2014-02-13 20:33:44,Japan,1
73,2014-02-15 23:23:09,Poland,2
74,2014-02-22 06:22:05,Singapore,1
75,2014-02-21 15:22:43,Vietnam,1
76,2014-02-16 02:00:50,Ukraine,2
77,2014-02-07 12:44:43,Brazil,1
78,2014-02-12 05:40:18,Sweden,1
79,2014-02-12 16:59:34,Ireland,2
80,2014-02-13 01:43:53,Czech Republic,2
81,2014-02-16 13:45:48,United States,2
82,2014-02-18 11:16:21,United States,2
83,2014-02-12 15:42:56,Russia,1
84,2014-02-13 10:42:59,Russia,2
85,2014-02-22 03:15:45,China,2
86,2014-02-08 11:46:11,Portugal,2
87,2014-02-22 21:24:26,Jordan,0
88,2014-02-19 00:04:39,Mexico,2
89,2014-02-16 03:24:16,Canada,0
90,2014-02-17 22:18:24,Argentina,1
91,2014-02-19 07:06:54,France,2
92,2014-02-11 09:29:01,Japan,2
93,2014-02-08 06:28:55,Poland,2
94,2014-02-22 05:08:34,Singapore,0
95,2014-02-15 07:26:59,Vietnam,2
96,2014-02-22 00:53:21,Ukraine,2
97,2014-02-19 08:27:22,Brazil,2
98,2014-02-11 17:14:23,Sweden,2
99,2014-02-17 16:12:25,Ireland,2
100,2014-02-16 18:50:36,Czech Republic,1
101,2014-02-08 05:09:58,United States,1
102,2014-02-09 16:48:18,United States,0
103,2014-02-08 11:41:52,Russia,0
104,2014-02-12 04:32:25,Russia,0
105,2014-02-11 22:59:56,China,2
106,2014-02-08 03:55:14,Portugal,1
107,2014-02-18 01:18:39,Jordan,0
108,2014-02-19 11:12:09,Mexico,2
109,2014-02-21 16:30:50,Canada,1
110,2014-02-09 07:23:46,Argentina,2
111,2014-02-17 07:02:22,France,0
112,2014-02-16 23:01:38,Japan,1
113,2014-02-11 21:00:07,Poland,1
114,2014-02-17 14:22:22,Singapore,2
115,2014-02-13 03:43:06,Vietnam,1
116,2014-02-14 07:32:27,Ukraine,2
117,2014-02-15 10:37:31,Brazil,0
118,2014-02-12 20:30:53,Sweden,1
119,2014-02-09 22:23:51,Ireland,0
120,2014-02-20 17:34:21,Czech Republic,2
121,2014-02-22 08:46:08,United States,1
122,2014-02-13 20:05:30,United States,0
123,2014-02-12 12:41:47,Russia,0
124,2014-02-12 22:15:16,Russia,2
125,2014-02-22 13:32:48,China,2
126,2014-02-12 11:28:52,Portugal,2
127,2014-02-21 12:55:07,Jordan,0
128,2014-02-18 07:52:55,Mexico,1
129,2014-02-09 01:32:37,Canada,0
130,2014-02-16 17:47:21,Argentina,0
131,2014-02-12 15:59:22,France,1
132,2014-02-16 22:38:23,Japan,2
133,2014-02-18 18:45:21,Poland,1
134,2014-02-12 22:42:27,Singapore,1
135,2014-02-10 05:50:00,Vietnam,1
136,2014-02-18 08:20:22,Ukraine,2
137,2014-02-14 18:57:13,Brazil,2
138,2014-02-19 13:59:43,Sweden,1
139,2014-02-11 16:55:34,Ireland,2
140,2014-02-12 19:46:34,Czech Republic,1
141,2014-02-21 03:06:24,United States,2
142,2014-02-21 00:38:14,United States,0
143,2014-02-07 09:09:33,Russia,0
144,2014-02-19 00:32:23,Russia,2
145,2014-02-13 09:58:11,China,0
146,2014-02-10 15:07:55,Portugal,1
147,2014-02-14 17:45:38,Jordan,0
148,2014-02-19 01:35:08,Mexico,2
149,2014-02-07 01:08:20,Canada,1
150,2014-02-16 01:00:15,Argentina,2
151,2014-02-14 14:02:24,France,1
152,2014-02-22 00:26:59,Japan,1
153,2014-02-11 10:50:51,Poland,2
154,2014-02-10 01:54:07,Singapore,1
155,2014-02-14 09:24:12,Vietnam,1
156,2014-02-20 19:40:32,Ukraine,0
157,2014-02-09 20:55:43,Brazil,0
158,2014-02-13 04:51:47,Sweden,0
159,2014-02-08 08:40:16,Ireland,2
160,2014-02-11 16:35:52,Czech Republic,0
161,2014-02-12 23:47:01,United States,2
162,2014-02-11 02:39:43,United States,1
163,2014-02-22 07:20:23,Russia,0
164,2014-02-10 17:59:54,Russia,2
165,2014-02-17 20:52:51,China,0
166,2014-02-13 09:07:08,Portugal,0
167,2014-02-12 05:01:00,Jordan,2
168,2014-02-09 03:58:30,Mexico,0
169,2014-02-13 12:34:35,Canada,2
170,2014-02-10 03:51:29,Argentina,1
171,2014-02-15 02:52:34,France,1
172,2014-02-22 07:15:46,Japan,0
173,2014-02-07 15:30:25,Poland,1
174,2014-02-12 02:03:14,Singapore,2
175,2014-02-19 20:08:09,Vietnam,2
176,2014-02-20 14:15:30,Ukraine,0
177,2014-02-14 20:27:48,Brazil,1
178,2014-02-08 10:19:21,Sweden,2
179,2014-02-08 15:39:24,Ireland,0
180,2014-02-13 01:30:53,Czech Republic,2
181,2014-02-09 11:28:43,United States,2
182,2014-02-22 11:55:47,United States,0
183,2014-02-21 06:20:32,Russia,0
184,2014-02-22 11:47:33,Russia,0
185,2014-02-22 22:11:42,China,2
186,2014-02-22 02:20:23,Portugal,1
187,2014-02-18 09:48:36,Jordan,0
188,2014-02-09 17:42:32,Mexico,2
189,2014-02-10 22:38:09,Canada,2
190,2014-02-10 08:28:05,Argentina,2
191,2014-02-20 08:17:32,France,2
192,2014-02-22 18:29:39,Japan,2
193,2014-02-07 08:20:53,Poland,0
194,2014-02-21 01:16:26,Singapore,1
195,2014-02-17 04:48:32,Vietnam,1
196,2014-02-16 05:55:09,Ukraine,2
197,2014-02-19 03:22:18,Brazil,0
198,2014-02-17 22:20:04,Sweden,1
199,2014-02-17 09:12:10,Ireland,0
200,2014-02-15 15:42:02,Czech Republic,1
201,2014-02-09 16:59:58,United States,1
202,2014-02-09 14:40:21,United States,1
203,2014-02-22 12:04:11,Russia,0
204,2014-02-14 11:47:56,Russia,2
205,2014-02-21 20:54:11,China,1
206,2014-02-12 14:35:19,Portugal,2
207,2014-02-07 16:57:53,Jordan,0
208,2014-02-21 03:43:54,Mexico,1
209,2014-02-21 09:39:37,Canada,1
210,2014-02-22 14:42:38,Argentina,2
211,2014-02-07 20:30:20,France,2
212,2014-02-10 01:13:18,Japan,0
213,2014-02-19 01:09:15,Poland,2
214,2014-02-14 15:24:51,Singapore,0
215,2014-02-16 08:47:57,Vietnam,0
216,2014-02-19 23:27:27,Ukraine,2
217,2014-02-09 17:55:51,Brazil,2
218,2014-02-09 04:42:36,Sweden,2
219,2014-02-19 20:53:52,Ireland,2
220,2014-02-21 02:08:04,Czech Republic,2
221,2014-02-19 11:01:56,United States,2
222,2014-02-22 14:10:04,United States,0
223,2014-02-17 05:08:30,Russia,0
224,2014-02-15 05:20:03,Russia,0
225,2014-02-07 19:04:09,China,2
226,2014-02-10 05:35:33,Portugal,2
227,2014-02-13 07:32:18,Jordan,1
228,2014-02-21 06:44:03,Mexico,2
229,2014-02-09 08:35:48,Canada,1
230,2014-02-11 15:36:15,Argentina,0
231,2014-02-11 00:24:27,France,0
232,2014-02-13 17:04:26,Japan,1
233,2014-02-09 04:35:20,Poland,1
234,2014-02-14 18:56:40,Singapore,0
235,2014-02-16 10:20:05,Vietnam,0
236,2014-02-12 21:47:29,Ukraine,1
237,2014-02-13 23:08:52,Brazil,1
238,2014-02-09 02:05:57,Sweden,0
239,2014-02-13 09:31:28,Ireland,2
240,2014-02-17 17:55:24,Czech Republic,1
241,2014-02-22 22:38:56,United States,0
242,2014-02-09 06:35:51,United States,0
243,2014-02-13 15:37:41,Russia,1
244,2014-02-11 01:26:09,Russia,1
245,2014-02-07 14:14:02,China,0
246,2014-02-16 05:48:14,Portugal,2
247,2014-02-11 18:51:58,Jordan,0
248,2014-02-20 16:47:34,Mexico,1
249,2014-02-07 17:33:25,Canada,2
250,2014-02-10 02:58:24,Argentina,1
251,2014-02-12 11:08:47,France,2
252,2014-02-16 20:58:09,Japan,0
253,2014-02-21 10:26:19,Poland,2
254,2014-02-16 14:23:38,Singapore,2
255,2014-02-18 04:20:13,Vietnam,0
256,2014-02-14 10:09:50,Ukraine,0
257,2014-02-11 16:48:52,Brazil,2
258,2014-02-16 09:54:08,Sweden,0
259,2014-02-20 23:04:22,Ireland,0
260,2014-02-08 23:37:11,Czech Republic,1
261,2014-02-09 17:54:19,United States,2
262,2014-02-17 09:51:48,United States,2
263,2014-02-19 00:55:10,Russia,2
264,2014-02-09 11:01:47,Russia,0
265,2014-02-07 20:58:07,China,0
266,2014-02-11 03:55:12,Portugal,0
267,2014-02-22 08:08:04,Jordan,0
268,2014-02-19 01:36:22,Mexico,1
269,2014-02-22 16:04:04,Canada,2
270,2014-02-08 04:58:25,Argentina,1
271,2014-02-10 02:39:45,France,1
272,2014-02-17 07:48:20,Japan,0
273,2014-02-21 08:01:31,Poland,0
274,2014-02-19 01:58:48,Singapore,2
275,2014-02-16 07:55:58,Vietnam,0
276,2014-02-10 12:42:07,Ukraine,1
277,2014-02-18 10:50:31,Brazil,2
278,2014-02-22 23:00:21,Sweden,1
279,2014-02-18 06:47:40,Ireland,2
280,2014-02-13 11:44:40,Czech Republic,0
281,2014-02-09 14:08:42,United States,1
282,2014-02-12 23:17:20,United States,2
283,2014-02-18 16:21:45,Russia,1
284,2014-02-18 09:10:41,Russia,2
285,2014-02-08 21:39:37,China,2
286,2014-02-09 13:32:28,Portugal,1
287,2014-02-19 03:43:40,Jordan,2
288,2014-02-15 08:16:54,Mexico,2
289,2014-02-16 20:26:39,Canada,2
290,2014-02-12 03:20:01,Argentina,2
291,2014-02-21 06:11:35,France,1
292,2014-02-16 16:24:24,Japan,0
293,2014-02-10 10:36:37,Poland,2
294,2014-02-18 05:18:34,Singapore,0
295,2014-02-11 21:13:48,Vietnam,1
296,2014-02-11 11:18:30,Ukraine,2
297,2014-02-17 11:20:02,Brazil,2
298,2014-02-07 02:38:13,Sweden,0
299,2014-02-07 12:26:28,Ireland,2
300,2014-02-18 11:00:41,Czech Republic,2
301,2014-02-12 01:28:18,United States,0
302,2014-02-20 14:18:00,United States,1
303,2014-02-18 11:05:01,Russia,1
304,2014-02-20 11:29:31,Russia,2
305,2014-02-08 03:06:24,China,1
306,2014-02-14 10:55:07,Portugal,1
307,2014-02-15 06:44:55,Jordan,2
308,2014-02-22 09:20:30,Mexico,0
309,2014-02-22 03:51:21,Canada,2
310,2014-02-11 19:22:18,Argentina,1
311,2014-02-15 12:56:53,France,1
312,2014-02-16 05:52:04,Japan,0
313,2014-02-18 02:23:05,Poland,2
314,2014-02-22 00:07:34,Singapore,1
315,2014-02-20 09:43:17,Vietnam,2
316,2014-02-20 18:51:50,Ukraine,1
317,2014-02-18 00:30:40,Brazil,2
318,2014-02-09 15:27:17,Sweden,0
319,2014-02-08 23:02:22,Ireland,0
320,2014-02-17 02:28:20,Czech Republic,2
321,2014-02-19 15:39:10,United States,0
322,2014-02-10 19:30:10,United States,0
323,2014-02-10 04:40:49,Russia,1
324,2014-02-07 12:25:24,Russia,1
325,2014-02-11 00:48:58,China,2
326,2014-02-08 08:24:31,Portugal,1
327,2014-02-19 14:52:40,Jordan,0
328,2014-02-18 13:47:46,Mexico,0
329,2014-02-07 14:21:45,Canada,2
330,2014-02-22 12:38:58,Argentina,0
331,2014-02-09 08:25:15,France,1
332,2014-02-19 22:32:30,Japan,0
333,2014-02-19 17:58:51,Poland,0
334,2014-02-16 10:36:38,Singapore,2
335,2014-02-20 00:34:53,Vietnam,0
336,2014-02-19 11:28:54,Ukraine,1
337,2014-02-07 12:08:22,Brazil,1
338,2014-02-11 08:54:02,Sweden,0
339,2014-02-17 16:56:15,Ireland,2
340,2014-02-13 12:43:39,Czech Republic,1
341,2014-02-21 21:12:05,United States,0
342,2014-02-08 05:57:25,United States,0
343,2014-02-11 13:36:00,Russia,2
344,2014-02-18 01:00:48,Russia,2
345,2014-02-22 11:53:45,China,0
346,2014-02-14 10:51:09,Portugal,2
347,2014-02-16 05:58:30,Jordan,0
348,2014-02-09 17:44:55,Mexico,0
